timestamp;sampleNum;brInterval;breathRate
1580000000;61;267;21
1580000000;119;175;13
1580000000;172;191;15
1580000000;234;164;13
1580000000;290;181;14
1580000000;350;169;13
1580000000;389;260;20
1580000000;427;267;21
1580000000;476;207;16
1580000000;508;317;24
1580000000;539;327;25
1580000000;572;307;24
1580000000;607;290;22
1580000000;642;290;22
1580000000;693;199;15
1580000000;740;216;17
1580000000;779;260;20
1580000000;833;188;14
1580000000;877;230;18
1580000000;923;220;17
1580000000;959;282;22
1580000000;1010;199;15
1580000000;1054;230;18
1580000000;1104;203;16
1580000000;1148;230;18
1580000000;1187;260;20
1580000000;1232;225;17
1580000000;1274;241;19
1580000000;1305;327;25
1580000000;1355;203;16
1580000000;1397;241;19
1580000000;1437;254;20
1580000000;1479;241;19
1580000000;1533;188;14
1580000000;1584;199;15
1580000000;1626;241;19
1580000000;1667;247;19
1580000000;1707;254;20
1580000000;1752;225;17
1580000000;1794;241;19
1580000000;1832;267;21
1580000000;1867;290;22
1580000000;1983;87;7
1580000000;2028;225;17
1580000000;2082;188;14
1580000000;2125;236;18
1580000000;2162;274;21
1580000000;2202;254;20
1580000000;2226;423;33
1580000000;2266;254;20
1580000000;2317;199;15
1580000000;2359;241;19
1580000000;2392;307;24
1580000000;2424;317;24
1580000000;2459;290;22
1580000000;2504;225;17
1580000000;2535;327;25
1580000000;2573;267;21
1580000000;2607;298;23
1580000000;2638;327;25
1580000000;2674;282;22
1580000000;2722;211;16
1580000000;2756;298;23
1580000000;2790;298;23
1580000000;2822;317;24
1580000000;2869;216;17
1580000000;2907;267;21
1580000000;2944;274;21
1580000000;2991;216;17
1580000000;3054;161;12
1580000000;3134;127;10
1580000000;3179;225;17
1580000000;3216;274;21
1580000000;3248;317;24
