timestamp;inx;sampleNum;samplePeriodPress;breathRate;filterType;dataType;Samples
1579604544;608;729;75;205;7;1;2619
1579604544;612;729;75;205;7;1;2616
1579604544;616;729;75;205;7;1;2611
1579604544;620;729;75;205;7;1;2607
1579604544;624;729;75;205;7;1;2604
1579604545;19;730;75;145;7;1;2600
1579604545;23;730;75;145;7;1;2596
1579604545;27;730;75;145;7;1;2592
1579604545;31;730;75;145;7;1;2588
1579604545;35;730;75;145;7;1;2583
1579604545;39;730;75;145;7;1;2576
1579604545;43;730;75;145;7;1;2572
1579604545;47;730;75;145;7;1;2569
1579604545;51;730;75;145;7;1;2569
1579604545;55;730;75;145;7;1;2568
1579604545;59;730;75;145;7;1;2568
1579604545;63;730;75;145;7;1;2566
1579604545;67;730;75;145;7;1;2565
1579604546;684;731;75;444;7;1;2565
1579604546;688;731;75;444;7;1;2565
1579604546;692;731;75;444;7;1;2565
1579604546;696;731;75;444;7;1;2565
1579604546;700;731;75;444;7;1;2564
1579604546;704;731;75;444;7;1;2563
1579604546;708;731;75;444;7;1;2562
1579604546;712;731;75;444;7;1;2563
1579604546;716;731;75;444;7;1;2563
1579604546;720;731;75;444;7;1;2562
1579604546;724;731;75;444;7;1;2562
1579604546;728;731;75;444;7;1;2561
1579604546;732;731;75;444;7;1;2559
1579604547;555;732;75;1600;7;1;2555
1579604547;559;732;75;1600;7;1;2552
1579604547;563;732;75;1600;7;1;2549
1579604547;567;732;75;1600;7;1;2546
1579604547;571;732;75;1600;7;1;2546
1579604547;575;732;75;1600;7;1;2551
1579604547;579;732;75;1600;7;1;2557
1579604547;583;732;75;1600;7;1;2570
1579604547;587;732;75;1600;7;1;2583
1579604547;591;732;75;1600;7;1;2598
1579604547;595;732;75;1600;7;1;2611
1579604547;599;732;75;1600;7;1;2620
1579604547;603;732;75;1600;7;1;2626
1579604548;169;733;75;1600;7;1;2636
1579604548;173;733;75;1600;7;1;2646
1579604548;177;733;75;1600;7;1;2655
1579604548;181;733;75;1600;7;1;2662
1579604548;185;733;75;1600;7;1;2669
1579604548;189;733;75;1600;7;1;2672
1579604548;193;733;75;1600;7;1;2675
1579604548;197;733;75;1600;7;1;2678
1579604548;201;733;75;1600;7;1;2681
1579604548;205;733;75;1600;7;1;2682
1579604548;209;733;75;1600;7;1;2681
1579604548;213;733;75;1600;7;1;2680
1579604548;217;733;75;1600;7;1;2677
1579604549;576;734;75;285;7;1;2672
1579604549;580;734;75;285;7;1;2668
1579604549;584;734;75;285;7;1;2664
1579604549;588;734;75;285;7;1;2659
1579604549;592;734;75;285;7;1;2656
1579604549;596;734;75;285;7;1;2652
1579604549;600;734;75;285;7;1;2648
1579604549;604;734;75;285;7;1;2644
1579604549;608;734;75;285;7;1;2640
1579604549;612;734;75;285;7;1;2634
1579604549;616;734;75;285;7;1;2628
1579604549;620;734;75;285;7;1;2623
1579604549;624;734;75;285;7;1;2619
1579604550;555;735;75;285;7;1;2614
1579604550;559;735;75;285;7;1;2610
1579604550;563;735;75;285;7;1;2606
1579604550;567;735;75;285;7;1;2602
1579604550;571;735;75;285;7;1;2598
1579604550;575;735;75;285;7;1;2595
1579604550;579;735;75;285;7;1;2588
1579604550;583;735;75;285;7;1;2584
1579604550;587;735;75;285;7;1;2580
1579604550;591;735;75;285;7;1;2575
1579604550;595;735;75;285;7;1;2570
1579604550;599;735;75;285;7;1;2564
1579604550;603;735;75;285;7;1;2558
1579604551;555;736;75;285;7;1;2553
1579604551;559;736;75;285;7;1;2549
1579604551;563;736;75;285;7;1;2545
1579604551;567;736;75;285;7;1;2540
1579604551;571;736;75;285;7;1;2536
1579604551;575;736;75;285;7;1;2533
1579604551;579;736;75;285;7;1;2529
1579604551;583;736;75;285;7;1;2527
1579604551;587;736;75;285;7;1;2524
1579604551;591;736;75;285;7;1;2522
1579604551;595;736;75;285;7;1;2520
1579604551;599;736;75;285;7;1;2518
1579604551;603;736;75;285;7;1;2516
1579604552;19;737;75;285;7;1;2514
1579604552;23;737;75;285;7;1;2515
1579604552;27;737;75;285;7;1;2521
1579604552;31;737;75;285;7;1;2532
1579604552;35;737;75;285;7;1;2544
